Sat Apr 1 2017,6:00 pm,Orlando Magic,111,Brooklyn Nets,121,Box Score,
Wed Mar 8 2017,8:00 pm,Detroit Pistons,98,Indiana Pacers,115,Box Score,,
Wed Mar 8 2017,7:30 pm,Charlotte Hornets,101,Miami Heat,108,Box Score,,
Wed Mar 8 2017,8:00 pm,New York Knicks,93,Milwaukee Bucks,104,Box Score,,
Wed Mar 8 2017,8:00 pm,Los Angeles Clippers,91,Minnesota Timberwolves,107,Box Score,,
Wed Mar 8 2017,8:00 pm,Toronto Raptors,94,New Orleans Pelicans,87,Box Score,,
Wed Mar 8 2017,7:00 pm,Chicago Bulls,91,Orlando Magic,98,Box Score,,
Wed Mar 8 2017,8:30 pm,Sacramento Kings,104,San Antonio Spurs,114,Box Score,,
Thu Mar 9 2017,7:30 pm,Cleveland Cavaliers,101,Detroit Pistons,106,Box Score,,
Thu Mar 9 2017,8:00 pm,Los Angeles Clippers,114,Memphis Grizzlies,98,Box Score,,
Thu Mar 9 2017,8:00 pm,San Antonio Spurs,92,Oklahoma City Thunder,102,Box Score,,
Thu Mar 9 2017,10:30 pm,Los Angeles Lakers,122,Phoenix Suns,110,Box Score,,
Thu Mar 9 2017,10:00 pm,Philadelphia 76ers,108,Portland Trail Blazers,114,Box Score,OT,
Fri Mar 10 2017,8:00 pm,Toronto Raptors,99,Atlanta Hawks,105,Box Score,,
Fri Mar 10 2017,8:00 pm,Houston Rockets,115,Chicago Bulls,94,Box Score,,
Fri Mar 10 2017,7:00 pm,Orlando Magic,81,Charlotte Hornets,121,Box Score,,
Fri Mar 10 2017,9:00 pm,Brooklyn Nets,96,Dallas Mavericks,105,Box Score,,
Fri Mar 10 2017,9:00 pm,Boston Celtics,99,Denver Nuggets,119,Box Score,,
Fri Mar 10 2017,8:00 pm,Indiana Pacers,85,Milwaukee Bucks,99,Box Score,,
Fri Mar 10 2017,8:00 pm,Golden State Warriors,102,Minnesota Timberwolves,103,Box Score,,
Fri Mar 10 2017,10:30 pm,Washington Wizards,130,Sacramento Kings,122,Box Score,OT,
Sat Mar 11 2017,7:00 pm,New Orleans Pelicans,125,Charlotte Hornets,122,Box Score,OT,
Sat Mar 11 2017,9:00 pm,Phoenix Suns,100,Dallas Mavericks,98,Box Score,,
Sat Mar 11 2017,5:00 pm,New York Knicks,92,Detroit Pistons,112,Box Score,,
Sat Mar 11 2017,3:30 pm,Philadelphia 76ers,100,Los Angeles Clippers,112,Box Score,,
Sat Mar 11 2017,9:00 pm,Atlanta Hawks,107,Memphis Grizzlies,90,Box Score,,
Sat Mar 11 2017,8:00 pm,Toronto Raptors,89,Miami Heat,104,Box Score,,
Sat Mar 11 2017,8:00 pm,Minnesota Timberwolves,95,Milwaukee Bucks,102,Box Score,,
Sat Mar 11 2017,3:00 pm,Utah Jazz,104,Oklahoma City Thunder,112,Box Score,,
Sat Mar 11 2017,7:00 pm,Cleveland Cavaliers,116,Orlando Magic,104,Box Score,,
Sat Mar 11 2017,10:00 pm,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,
Sat Mar 11 2017,10:30 pm,Denver Nuggets,105,Sacramento Kings,92,Box Score,,
Sat Mar 11 2017,8:30 pm,Golden State Warriors,85,San Antonio Spurs,107,Box Score,,
Sun Mar 12 2017,3:30 pm,Chicago Bulls,80,Boston Celtics,100,Box Score,,
Sun Mar 12 2017,6:00 pm,New York Knicks,112,Brooklyn Nets,120,Box Score,,
Sun Mar 12 2017,9:00 pm,Cleveland Cavaliers,112,Houston Rockets,117,Box Score,,
Sun Mar 12 2017,6:00 pm,Miami Heat,98,Indiana Pacers,102,Box Score,,
Sun Mar 12 2017,9:30 pm,Philadelphia 76ers,118,Los Angeles Lakers,116,Box Score,,
Sun Mar 12 2017,9:00 pm,Portland Trail Blazers,110,Phoenix Suns,101,Box Score,,
Mon Mar 13 2017,7:00 pm,Chicago Bulls,115,Charlotte Hornets,109,Box Score,,
Mon Mar 13 2017,10:30 pm,Los Angeles Lakers,101,Denver Nuggets,129,Box Score,,
Mon Mar 13 2017,8:00 pm,Milwaukee Bucks,93,Memphis Grizzlies,113,Box Score,,
Mon Mar 13 2017,8:00 pm,Washington Wizards,104,Minnesota Timberwolves,119,Box Score,,
Mon Mar 13 2017,10:30 pm,Orlando Magic,115,Sacramento Kings,120,Box Score,,
Mon Mar 13 2017,8:00 pm,Atlanta Hawks,99,San Antonio Spurs,107,Box Score,,
Mon Mar 13 2017,7:30 pm,Dallas Mavericks,78,Toronto Raptors,100,Box Score,,
Mon Mar 13 2017,9:00 pm,Los Angeles Clippers,108,Utah Jazz,114,Box Score,,
Tue Mar 14 2017,7:30 pm,Oklahoma City Thunder,122,Brooklyn Nets,104,Box Score,,
Tue Mar 14 2017,7:00 pm,Detroit Pistons,96,Cleveland Cavaliers,128,Box Score,,
Tue Mar 14 2017,10:30 pm,Philadelphia 76ers,104,Golden State Warriors,106,Box Score,,
Tue Mar 14 2017,8:00 pm,Portland Trail Blazers,77,New Orleans Pelicans,100,Box Score,,
Tue Mar 14 2017,7:30 pm,Indiana Pacers,81,New York Knicks,87,Box Score,,
Wed Mar 15 2017,7:30 pm,Minnesota Timberwolves,104,Boston Celtics,117,Box Score,,
Wed Mar 15 2017,8:00 pm,Memphis Grizzlies,98,Chicago Bulls,91,Box Score,,
Wed Mar 15 2017,7:30 pm,Utah Jazz,97,Detroit Pistons,83,Box Score,,
Wed Mar 15 2017,8:00 pm,Los Angeles Lakers,100,Houston Rockets,139,Box Score,,
Wed Mar 15 2017,7:00 pm,Charlotte Hornets,77,Indiana Pacers,98,Box Score,,
Wed Mar 15 2017,10:30 pm,Milwaukee Bucks,97,Los Angeles Clippers,96,Box Score,,
Wed Mar 15 2017,7:30 pm,New Orleans Pelicans,112,Miami Heat,120,Box Score,,
Wed Mar 15 2017,10:00 pm,Sacramento Kings,107,Phoenix Suns,101,Box Score,,
Wed Mar 15 2017,8:00 pm,Portland Trail Blazers,110,San Antonio Spurs,106,Box Score,,
Wed Mar 15 2017,7:00 pm,Dallas Mavericks,112,Washington Wizards,107,Box Score,,
Thu Mar 16 2017,7:30 pm,Memphis Grizzlies,103,Atlanta Hawks,91,Box Score,,
Thu Mar 16 2017,7:00 pm,Utah Jazz,83,Cleveland Cavaliers,91,Box Score,,
Thu Mar 16 2017,9:00 pm,Los Angeles Clippers,114,Denver Nuggets,129,Box Score,,
Thu Mar 16 2017,10:30 pm,Orlando Magic,92,Golden State Warriors,122,Box Score,,
Thu Mar 16 2017,7:30 pm,Brooklyn Nets,121,New York Knicks,110,Box Score,,
Thu Mar 16 2017,7:00 pm,Oklahoma City Thunder,123,Toronto Raptors,102,Box Score,,
Fri Mar 17 2017,7:30 pm,Boston Celtics,98,Brooklyn Nets,95,Box Score,,
Fri Mar 17 2017,7:30 pm,Toronto Raptors,87,Detroit Pistons,75,Box Score,,
Fri Mar 17 2017,10:30 pm,Milwaukee Bucks,107,Los Angeles Lakers,103,Box Score,,
Fri Mar 17 2017,8:00 pm,Minnesota Timberwolves,105,Miami Heat,123,Box Score,,
Fri Mar 17 2017,8:00 pm,Houston Rockets,112,New Orleans Pelicans,128,Box Score,,
Fri Mar 17 2017,7:00 pm,Dallas Mavericks,74,Philadelphia 76ers,116,Box Score,,
Fri Mar 17 2017,10:00 pm,Orlando Magic,109,Phoenix Suns,103,Box Score,,
Fri Mar 17 2017,7:00 pm,Chicago Bulls,107,Washington Wizards,112,Box Score,,
Sat Mar 18 2017,6:00 pm,Portland Trail Blazers,113,Atlanta Hawks,97,Box Score,,
Sat Mar 18 2017,9:00 pm,Utah Jazz,86,Chicago Bulls,95,Box Score,,
Sat Mar 18 2017,7:00 pm,Washington Wizards,93,Charlotte Hornets,98,Box Score,,
Sat Mar 18 2017,9:30 pm,Houston Rockets,109,Denver Nuggets,105,Box Score,,
Sat Mar 18 2017,10:30 pm,Milwaukee Bucks,92,Golden State Warriors,117,Box Score,,
Sat Mar 18 2017,8:30 pm,Cleveland Cavaliers,78,Los Angeles Clippers,108,Box Score,,
Sat Mar 18 2017,9:00 pm,San Antonio Spurs,96,Memphis Grizzlies,104,Box Score,,
Sat Mar 18 2017,3:00 pm,Sacramento Kings,94,Oklahoma City Thunder,110,Box Score,,
Sun Mar 19 2017,12:00 pm,Dallas Mavericks,111,Brooklyn Nets,104,Box Score,,
Sun Mar 19 2017,4:30 pm,Phoenix Suns,95,Detroit Pistons,112,Box Score,,
Sun Mar 19 2017,9:30 pm,Cleveland Cavaliers,125,Los Angeles Lakers,120,Box Score,,
Sun Mar 19 2017,6:00 pm,Portland Trail Blazers,115,Miami Heat,104,Box Score,,
Sun Mar 19 2017,6:00 pm,Minnesota Timberwolves,109,New Orleans Pelicans,123,Box Score,,
Sun Mar 19 2017,1:00 pm,Boston Celtics,99,Philadelphia 76ers,105,Box Score,,
Sun Mar 19 2017,7:00 pm,Sacramento Kings,102,San Antonio Spurs,118,Box Score,,
Sun Mar 19 2017,6:00 pm,Indiana Pacers,91,Toronto Raptors,116,Box Score,,
Mon Mar 20 2017,7:30 pm,Washington Wizards,102,Boston Celtics,110,Box Score,,
Mon Mar 20 2017,7:00 pm,Atlanta Hawks,90,Charlotte Hornets,105,Box Score,,
Mon Mar 20 2017,8:00 pm,Denver Nuggets,124,Houston Rockets,125,Box Score,,
Mon Mar 20 2017,7:00 pm,Utah Jazz,100,Indiana Pacers,107,Box Score,,
Mon Mar 20 2017,10:30 pm,New York Knicks,105,Los Angeles Clippers,114,Box Score,,
Mon Mar 20 2017,8:00 pm,Golden State Warriors,111,Oklahoma City Thunder,95,Box Score,,
Mon Mar 20 2017,7:00 pm,Philadelphia 76ers,109,Orlando Magic,112,Box Score,OT,
Tue Mar 21 2017,7:30 pm,Detroit Pistons,96,Brooklyn Nets,98,Box Score,,
Tue Mar 21 2017,8:30 pm,Golden State Warriors,112,Dallas Mavericks,87,Box Score,,
Tue Mar 21 2017,10:30 pm,Los Angeles Clippers,133,Los Angeles Lakers,109,Box Score,,
Tue Mar 21 2017,7:30 pm,Phoenix Suns,97,Miami Heat,112,Box Score,,
Tue Mar 21 2017,9:30 pm,San Antonio Spurs,100,Minnesota Timberwolves,93,Box Score,,
Tue Mar 21 2017,8:00 pm,Memphis Grizzlies,82,New Orleans Pelicans,95,Box Score,,
Tue Mar 21 2017,10:00 pm,Milwaukee Bucks,93,Portland Trail Blazers,90,Box Score,,
Tue Mar 21 2017,7:00 pm,Chicago Bulls,120,Toronto Raptors,122,Box Score,OT,
Wed Mar 22 2017,7:30 pm,Indiana Pacers,100,Boston Celtics,109,Box Score,,
Wed Mar 22 2017,8:00 pm,Detroit Pistons,95,Chicago Bulls,117,Box Score,,
Wed Mar 22 2017,9:00 pm,Cleveland Cavaliers,113,Denver Nuggets,126,Box Score,,
Wed Mar 22 2017,8:00 pm,Philadelphia 76ers,97,Oklahoma City Thunder,122,Box Score,,
Wed Mar 22 2017,7:00 pm,Charlotte Hornets,109,Orlando Magic,102,Box Score,,
Wed Mar 22 2017,10:30 pm,Milwaukee Bucks,116,Sacramento Kings,98,Box Score,,
Wed Mar 22 2017,10:30 pm,New York Knicks,101,Utah Jazz,108,Box Score,,
Wed Mar 22 2017,8:00 pm,Atlanta Hawks,100,Washington Wizards,104,Box Score,,
Thu Mar 23 2017,7:30 pm,Phoenix Suns,98,Brooklyn Nets,126,Box Score,,
Thu Mar 23 2017,8:30 pm,Los Angeles Clippers,95,Dallas Mavericks,97,Box Score,,
Thu Mar 23 2017,7:30 pm,Toronto Raptors,101,Miami Heat,84,Box Score,,
Thu Mar 23 2017,10:00 pm,New York Knicks,95,Portland Trail Blazers,110,Box Score,,
Thu Mar 23 2017,8:30 pm,Memphis Grizzlies,90,San Antonio Spurs,97,Box Score,,
Fri Mar 24 2017,7:30 pm,Phoenix Suns,120,Boston Celtics,130,Box Score,,
Fri Mar 24 2017,8:00 pm,Philadelphia 76ers,117,Chicago Bulls,107,Box Score,,
Fri Mar 24 2017,7:00 pm,Cleveland Cavaliers,112,Charlotte Hornets,105,Box Score,,
Fri Mar 24 2017,10:30 pm,Sacramento Kings,100,Golden State Warriors,114,Box Score,,
Fri Mar 24 2017,8:00 pm,New Orleans Pelicans,107,Houston Rockets,117,Box Score,,
Fri Mar 24 2017,7:00 pm,Denver Nuggets,125,Indiana Pacers,117,Box Score,,
Fri Mar 24 2017,10:30 pm,Minnesota Timberwolves,119,Los Angeles Lakers,130,Box Score,OT,
Fri Mar 24 2017,8:00 pm,Atlanta Hawks,97,Milwaukee Bucks,100,Box Score,,
Fri Mar 24 2017,7:00 pm,Detroit Pistons,87,Orlando Magic,115,Box Score,,
Fri Mar 24 2017,7:00 pm,Brooklyn Nets,108,Washington Wizards,129,Box Score,,
Sat Mar 25 2017,7:30 pm,Washington Wizards,127,Cleveland Cavaliers,115,Box Score,,
Sat Mar 25 2017,8:30 pm,Toronto Raptors,94,Dallas Mavericks,86,Box Score,,
Sat Mar 25 2017,3:30 pm,Utah Jazz,95,Los Angeles Clippers,108,Box Score,,
Sat Mar 25 2017,10:00 pm,Minnesota Timberwolves,100,Portland Trail Blazers,112,Box Score,,
Sat Mar 25 2017,8:30 pm,New York Knicks,98,San Antonio Spurs,106,Box Score,,
Sun Mar 26 2017,1:00 pm,Brooklyn Nets,107,Atlanta Hawks,92,Box Score,,
Sun Mar 26 2017,6:00 pm,Miami Heat,108,Boston Celtics,112,Box Score,,
Sun Mar 26 2017,1:00 pm,Phoenix Suns,106,Charlotte Hornets,120,Box Score,,
Sun Mar 26 2017,8:00 pm,New Orleans Pelicans,115,Denver Nuggets,90,Box Score,,
Sun Mar 26 2017,8:00 pm,Memphis Grizzlies,94,Golden State Warriors,106,Box Score,,
Sun Mar 26 2017,3:30 pm,Oklahoma City Thunder,125,Houston Rockets,137,Box Score,,
Sun Mar 26 2017,6:00 pm,Philadelphia 76ers,94,Indiana Pacers,107,Box Score,,
Sun Mar 26 2017,3:30 pm,Sacramento Kings,98,Los Angeles Clippers,97,Box Score,,
Sun Mar 26 2017,9:30 pm,Portland Trail Blazers,97,Los Angeles Lakers,81,Box Score,,
Sun Mar 26 2017,3:30 pm,Chicago Bulls,109,Milwaukee Bucks,94,Box Score,,
Mon Mar 27 2017,8:30 pm,Oklahoma City Thunder,92,Dallas Mavericks,91,Box Score,,
Mon Mar 27 2017,7:30 pm,Detroit Pistons,95,New York Knicks,109,Box Score,,
Mon Mar 27 2017,10:30 pm,Memphis Grizzlies,90,Sacramento Kings,91,Box Score,,
Mon Mar 27 2017,8:00 pm,Cleveland Cavaliers,74,San Antonio Spurs,103,Box Score,,
Mon Mar 27 2017,7:30 pm,Orlando Magic,112,Toronto Raptors,131,Box Score,,
Mon Mar 27 2017,10:30 pm,New Orleans Pelicans,100,Utah Jazz,108,Box Score,,
Tue Mar 28 2017,7:30 pm,Phoenix Suns,91,Atlanta Hawks,95,Box Score,,
Tue Mar 28 2017,7:30 pm,Philadelphia 76ers,106,Brooklyn Nets,101,Box Score,,
Tue Mar 28 2017,7:00 pm,Milwaukee Bucks,118,Charlotte Hornets,108,Box Score,,
Tue Mar 28 2017,7:30 pm,Miami Heat,97,Detroit Pistons,96,Box Score,,
Tue Mar 28 2017,8:00 pm,Golden State Warriors,113,Houston Rockets,106,Box Score,,
Tue Mar 28 2017,7:00 pm,Minnesota Timberwolves,115,Indiana Pacers,114,Box Score,,
Tue Mar 28 2017,10:30 pm,Washington Wizards,119,Los Angeles Lakers,108,Box Score,,
Tue Mar 28 2017,10:00 pm,Denver Nuggets,113,Portland Trail Blazers,122,Box Score,,
Wed Mar 29 2017,7:30 pm,Milwaukee Bucks,103,Boston Celtics,100,Box Score,,
Wed Mar 29 2017,10:30 pm,Washington Wizards,124,Los Angeles Clippers,133,Box Score,,
Wed Mar 29 2017,8:00 pm,Indiana Pacers,97,Memphis Grizzlies,110,Box Score,,
Wed Mar 29 2017,8:00 pm,Dallas Mavericks,118,New Orleans Pelicans,121,Box Score,,
Wed Mar 29 2017,7:30 pm,Miami Heat,105,New York Knicks,88,Box Score,,
Wed Mar 29 2017,7:00 pm,Oklahoma City Thunder,114,Orlando Magic,106,Box Score,OT,
Wed Mar 29 2017,7:00 pm,Atlanta Hawks,99,Philadelphia 76ers,92,Box Score,,
Wed Mar 29 2017,10:30 pm,Utah Jazz,112,Sacramento Kings,82,Box Score,,
Wed Mar 29 2017,9:30 pm,Golden State Warriors,110,San Antonio Spurs,98,Box Score,,
Wed Mar 29 2017,7:30 pm,Charlotte Hornets,110,Toronto Raptors,106,Box Score,,
Thu Mar 30 2017,8:00 pm,Cleveland Cavaliers,93,Chicago Bulls,99,Box Score,,
Thu Mar 30 2017,7:30 pm,Brooklyn Nets,89,Detroit Pistons,90,Box Score,,
Thu Mar 30 2017,8:00 pm,Los Angeles Lakers,104,Minnesota Timberwolves,119,Box Score,,
Thu Mar 30 2017,10:00 pm,Los Angeles Clippers,124,Phoenix Suns,118,Box Score,,
Thu Mar 30 2017,10:30 pm,Houston Rockets,107,Portland Trail Blazers,117,Box Score,,
Fri Mar 31 2017,7:30 pm,Orlando Magic,116,Boston Celtics,117,Box Score,,
Fri Mar 31 2017,7:00 pm,Denver Nuggets,114,Charlotte Hornets,122,Box Score,,
Fri Mar 31 2017,7:30 pm,Philadelphia 76ers,105,Cleveland Cavaliers,122,Box Score,,
Fri Mar 31 2017,10:30 pm,Houston Rockets,98,Golden State Warriors,107,Box Score,,
Fri Mar 31 2017,8:00 pm,Dallas Mavericks,90,Memphis Grizzlies,99,Box Score,,
Fri Mar 31 2017,8:00 pm,New York Knicks,98,Miami Heat,94,Box Score,,
Fri Mar 31 2017,8:00 pm,Detroit Pistons,105,Milwaukee Bucks,108,Box Score,OT,
Fri Mar 31 2017,8:00 pm,Sacramento Kings,89,New Orleans Pelicans,117,Box Score,,
Fri Mar 31 2017,8:00 pm,San Antonio Spurs,100,Oklahoma City Thunder,95,Box Score,,
Fri Mar 31 2017,7:00 pm,Indiana Pacers,100,Toronto Raptors,111,Box Score,,
Fri Mar 31 2017,9:00 pm,Washington Wizards,88,Utah Jazz,95,Box Score,,
